,Duration,Closure Hour,Closure Minute,Closure Second,Bridge,Date,Year,Month,Day
176,73239,18,6,10,1st Ave S,2015-12-03,2015,12,03
177,81115,13,55,28,1st Ave S,2015-12-02,2015,12,02
178,76575,12,20,25,1st Ave S,2015-12-02,2015,12,02
179,45569,9,18,52,1st Ave S,2015-12-02,2015,12,02
180,78871,21,48,13,1st Ave S,2015-12-02,2015,12,02
181,84859,14,18,43,1st Ave S,2015-12-01,2015,12,01
182,85733,13,37,14,1st Ave S,2015-12-01,2015,12,01
183,85113,13,16,21,1st Ave S,2015-12-01,2015,12,01
184,85178,12,43,2,1st Ave S,2015-12-01,2015,12,01
185,85436,12,14,37,1st Ave S,2015-12-01,2015,12,01
186,23691,11,47,43,1st Ave S,2015-12-01,2015,12,01
187,70736,18,15,28,1st Ave S,2015-12-01,2015,12,01
188,85469,13,48,49,1st Ave S,2015-11-30,2015,11,30
189,76194,13,20,13,1st Ave S,2015-11-30,2015,11,30
190,10430,10,21,14,1st Ave S,2015-11-30,2015,11,30
191,77838,13,2,51,1st Ave S,2015-11-25,2015,11,25
192,17640,10,32,53,1st Ave S,2015-11-25,2015,11,25
193,83371,15,17,51,1st Ave S,2015-11-22,2015,11,22
194,82531,14,13,19,1st Ave S,2015-11-22,2015,11,22
195,85836,12,57,15,1st Ave S,2015-11-22,2015,11,22
196,71858,12,31,31,1st Ave S,2015-11-22,2015,11,22
197,9527,8,22,5,1st Ave S,2015-11-21,2015,11,21
198,12704,10,53,5,1st Ave S,2015-11-19,2015,11,19
199,69894,14,8,38,1st Ave S,2015-11-18,2015,11,18
200,36648,9,21,22,1st Ave S,2015-11-18,2015,11,18
201,52013,19,24,8,1st Ave S,2015-11-18,2015,11,18
202,84870,9,37,57,1st Ave S,2015-11-17,2015,11,17
203,3390,9,5,4,1st Ave S,2015-11-17,2015,11,17
204,8920,9,51,21,1st Ave S,2015-11-16,2015,11,16
205,251,12,3,30,1st Ave S,2015-11-14,2015,11,14
206,7120,11,54,44,1st Ave S,2015-11-13,2015,11,13
207,85809,13,43,50,1st Ave S,2015-11-11,2015,11,11
208,75468,13,20,30,1st Ave S,2015-11-11,2015,11,11
209,84995,10,7,47,1st Ave S,2015-11-11,2015,11,11
210,32059,9,31,29,1st Ave S,2015-11-11,2015,11,11
211,74637,18,17,47,1st Ave S,2015-11-11,2015,11,11
212,86023,14,48,2,1st Ave S,2015-11-10,2015,11,10
213,80253,14,32,34,1st Ave S,2015-11-10,2015,11,10
214,85662,12,23,21,1st Ave S,2015-11-10,2015,11,10
215,84871,12,4,26,1st Ave S,2015-11-10,2015,11,10
216,85177,11,29,50,1st Ave S,2015-11-10,2015,11,10
217,85924,10,53,55,1st Ave S,2015-11-10,2015,11,10
218,38063,10,27,23,1st Ave S,2015-11-10,2015,11,10
219,85046,20,57,37,1st Ave S,2015-11-10,2015,11,10
220,85570,20,28,19,1st Ave S,2015-11-10,2015,11,10
221,86171,20,5,26,1st Ave S,2015-11-10,2015,11,10
222,86223,19,54,31,1st Ave S,2015-11-10,2015,11,10
223,86276,19,46,43,1st Ave S,2015-11-10,2015,11,10
224,85106,19,34,50,1st Ave S,2015-11-10,2015,11,10
225,84147,19,5,15,1st Ave S,2015-11-10,2015,11,10
226,86092,18,26,38,1st Ave S,2015-11-10,2015,11,10
227,86221,18,12,57,1st Ave S,2015-11-10,2015,11,10
228,69432,18,4,26,1st Ave S,2015-11-10,2015,11,10
229,84559,13,12,34,1st Ave S,2015-11-09,2015,11,09
230,6446,12,21,17,1st Ave S,2015-11-09,2015,11,09
231,471,14,0,42,1st Ave S,2016-02-19,2016,02,19
232,85118,13,58,49,1st Ave S,2016-02-18,2016,02,18
233,85847,13,30,45,1st Ave S,2016-02-18,2016,02,18
234,83909,13,19,18,1st Ave S,2016-02-18,2016,02,18
235,85523,12,29,18,1st Ave S,2016-02-16,2016,02,16
236,85572,12,3,3,1st Ave S,2016-02-16,2016,02,16
237,83019,11,35,25,1st Ave S,2016-02-16,2016,02,16
238,83574,10,30,23,1st Ave S,2016-02-16,2016,02,16
239,42366,9,25,21,1st Ave S,2016-02-16,2016,02,16
240,82277,21,0,46,1st Ave S,2016-02-16,2016,02,16
241,48640,19,43,46,1st Ave S,2016-02-16,2016,02,16
242,4901,9,9,4,1st Ave S,2016-02-15,2016,02,15
243,74998,10,19,55,1st Ave S,2016-02-14,2016,02,14
244,49406,6,57,36,1st Ave S,2016-02-13,2016,02,13
245,53943,20,28,7,1st Ave S,2016-02-13,2016,02,13
246,67428,11,13,57,1st Ave S,2016-02-12,2016,02,12
247,15936,5,51,46,1st Ave S,2016-02-12,2016,02,12
248,38516,10,7,57,1st Ave S,2016-02-09,2016,02,09
249,55286,20,38,49,1st Ave S,2016-02-09,2016,02,09
250,81838,11,45,27,1st Ave S,2016-02-08,2016,02,08
251,85687,10,18,26,1st Ave S,2016-02-08,2016,02,08
252,83976,9,55,21,1st Ave S,2016-02-08,2016,02,08
253,23137,9,7,59,1st Ave S,2016-02-08,2016,02,08
254,13381,15,23,27,1st Ave S,2016-02-07,2016,02,07
255,60158,18,54,59,1st Ave S,2016-02-07,2016,02,07
256,12438,11,27,55,1st Ave S,2016-02-06,2016,02,06
257,81848,14,45,32,1st Ave S,2016-02-05,2016,02,05
258,83461,13,14,55,1st Ave S,2016-02-05,2016,02,05
259,85139,12,9,48,1st Ave S,2016-02-05,2016,02,05
260,77894,11,35,52,1st Ave S,2016-02-05,2016,02,05
261,7932,9,5,46,1st Ave S,2016-02-05,2016,02,05
262,85139,11,9,15,1st Ave S,2016-02-04,2016,02,04
263,85193,10,38,57,1st Ave S,2016-02-04,2016,02,04
264,6207,10,12,16,1st Ave S,2016-02-04,2016,02,04
265,9986,11,51,38,1st Ave S,2016-02-03,2016,02,03
266,85533,14,23,1,1st Ave S,2016-02-02,2016,02,02
267,73462,13,47,26,1st Ave S,2016-02-01,2016,02,01
268,82427,10,1,58,1st Ave S,2016-02-01,2016,02,01
269,33277,8,42,41,1st Ave S,2016-01-31,2016,01,31
270,65547,17,40,30,1st Ave S,2016-03-13,2016,03,13
271,11629,11,42,39,1st Ave S,2016-03-11,2016,03,11
272,71017,14,49,34,1st Ave S,2016-03-08,2016,03,08
