,bridge,event,text,created_at,local_date
12,Fremont,closed,The Fremont Bridge has closed to traffic -   1:27:15 PM,2016-09-23 20:27:19,2016-09-23 13:27:19
11,Fremont,open,"The Fremont Bridge has reopened to traffic -
  1:28:18 PM",2016-09-23 20:28:21,2016-09-23 13:28:21
10,Fremont,open,The Fremont Bridge has reopened to traffic -   2:19:11 PM,2016-09-23 21:19:14,2016-09-23 14:19:14
9,Fremont,closed,The Fremont Bridge has closed to traffic -   2:34:24 PM,2016-09-23 21:34:34,2016-09-23 14:34:34
8,Fremont,open,The Fremont Bridge has reopened to traffic -   2:41:13 PM,2016-09-23 21:41:15,2016-09-23 14:41:15
7,Ballard,closed,The Ballard Bridge has closed to traffic -   2:53:32 PM,2016-09-23 21:53:35,2016-09-23 14:53:35
6,Ballard,open,The Ballard Bridge has reopened to traffic -   2:56:36 PM,2016-09-23 21:56:39,2016-09-23 14:56:39
5,Ballard,closed,The Ballard Bridge has closed to traffic -   3:09:55 PM,2016-09-23 22:09:58,2016-09-23 15:09:58
4,Ballard,open,The Ballard Bridge has reopened to traffic -   3:17:09 PM,2016-09-23 22:17:11,2016-09-23 15:17:11
3,Ballard,closed,The Ballard Bridge has closed to traffic -   3:29:20 PM,2016-09-23 22:29:24,2016-09-23 15:29:24
2,Ballard,open,The Ballard Bridge has reopened to traffic -   3:34:43 PM,2016-09-23 22:34:45,2016-09-23 15:34:45
1,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 5:16:22 PM,2016-09-24 00:16:25,2016-09-23 17:16:25
0,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 5:29:13 PM,2016-09-24 00:29:16,2016-09-23 17:29:16
